area;REP;COL;S;N;H;P;PRED;INF;UR;T;DEV1;DEV2;DEV3;SH1;SH2;SH3;C1LP;C1LC  ;F1LP;F1LC;Fsa1 ;Fca1 ;S1;P1;MU1 ;Nveg1;So1;LT1;Cit1 ;LP1; AG1;AU1;Rio1;Roc1; NA1;AZ1;TOTAL 1;C2LP;C2LC  ;F2LP;F2LC;Fsa2 ;Fca2 ;S2;P2 ;MU2 ;Nveg2;So2;LT2;LP2;Cit2;AG2;Cal2;AU2;Rio2;Roc2;NA2;AZ2;TOTAL 2;C3LP;C3LC;F3LP;F3LC;Fsa3;S3;Fca3;Cal3;P3;MU3;Nveg3;So3;LT3;LP3;Cit3;Rio3;AU3;NA3;AZ3;TOTAL 3
C1a;1;A;9;15;1,987;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,408611366;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918142;100
C1a;2;A;14;19;2,552;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1a;3;A;10;12;2,254;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1a;4;A;18;28;2,682;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1b;1;B;10;10;2,303;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,18300596;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756892;100
C1b;2;B;3;3;1,099;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0; ;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1b;3;B;7;8;1,906;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1b;4;B;6;6;1,792;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1c;1;C;4;6;1,33;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,88000472;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574337;99,99409908
C1c;2;C;7;7;1,946;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,8800047;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574335;99,99409906
