area,REP,COL,S,N,H,P,PRED,INF,UR,T,DEV3,SH3,C1LP,C3LP,C3LC,F3LP,F3LC,Fsa3,S3,Fca3,Cal3,P3,MU3,Nveg3,So3,LT3,LP3,Cit3,Rio3,AU3,NA3,AZ3,TOTAL 3
C1a,1,A,9,15,1.987,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,0.21641791,0.074086114,7.408611366,0.125594728,12.5594728,0,0.076834422,3.023138982,0,43.65672744,19.99172552,0.135937823,6.433405242,6.578208576,0.01773102,0,0.118206803,0,15.70081858,84.29918142,100
C1a,2,A,14,19,2.552,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,0.21641791,0.074086114,7.4086114,0.125594728,12.5594728,0,0.076834422,3.023138982,0,43.65672744,19.99172552,0.135937823,6.433405242,6.578208576,0.01773102,0,0.118206803,0,15.70081858,84.29918145,100
C1a,3,A,10,12,2.254,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,0.21641791,0.074086114,7.4086114,0.125594728,12.5594728,0,0.076834422,3.023138982,0,43.65672744,19.99172552,0.135937823,6.433405242,6.578208576,0.01773102,0,0.118206803,0,15.70081858,84.29918145,100
C1a,4,A,18,28,2.682,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,0.21641791,0.074086114,7.4086114,0.125594728,12.5594728,0,0.076834422,3.023138982,0,43.65672744,19.99172552,0.135937823,6.433405242,6.578208576,0.01773102,0,0.118206803,0,15.70081858,84.29918145,100
C1b,1,B,10,10,2.303,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,0.167020148,0.13183006,13.18300596,0.302856807,30.28568073,0,0,0,0,30.42074048,20.84030653,0.076338119,0.023488652,3.681846208,0,0,0.516750345,0.971842978,30.80243108,69.19756892,100
C1b,2,B,3,3,1.099,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,0.167020148,0.13183006,13.183006,0.302856807,30.28568073,0,0,0,0,30.42074048,20.84030653,0.076338119,0.023488652,3.681846208,0,0,0.516750345,0.971842978,30.80243108,69.19756896,100
C1b,3,B,7,8,1.906,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,0.167020148,0.13183006,13.183006,0.302856807,30.28568073,0,0,0,0,30.42074048,20.84030653,0.076338119,0.023488652,3.681846208,0,0,0.516750345,0.971842978,30.80243108,69.19756896,100
C1b,4,B,6,6,1.792,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,0.167020148,0.13183006,13.183006,0.302856807,30.28568073,0,0,0,0,30.42074048,20.84030653,0.076338119,0.023488652,3.681846208,0,0,0.516750345,0.971842978,30.80243108,69.19756896,100
C1c,1,C,4,6,1.33,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,0.475392392,0.188800047,18.88000472,0.163662113,16.36621131,0,3.817897501,1.189036084,0,7.045702652,16.87664119,0.286194789,25.40052518,9.92830378,0,0.150473549,0.053108311,0,17.60835571,82.38574337,99.99409908
C1c,2,C,7,7,1.946,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,0.475392392,0.188800047,18.8800047,0.163662113,16.36621131,0,3.817897501,1.189036084,0,7.045702652,16.87664119,0.286194789,25.40052518,9.92830378,0,0.150473549,0.053108311,0,17.60835571,82.38574335,99.99409906
C1c,3,C,7,10,1.834,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,0.475392392,0.188800047,18.8800047,0.163662113,16.36621131,0,3.817897501,1.189036084,0,7.045702652,16.87664119,0.286194789,25.40052518,9.92830378,0,0.150473549,0.053108311,0,17.60835571,82.38574335,99.99409906
C1c,4,C,1,1,0,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,0.475392392,0.188800047,18.8800047,0.163662113,16.36621131,0,3.817897501,1.189036084,0,7.045702652,16.87664119,0.286194789,25.40052518,9.92830378,0,0.150473549,0.053108311,0,17.60835571,82.38574335,99.99409906
