Var1,Var2,R
C3LP,C3LP,1.0
C3LC,C3LC,1.0
F3LP,F3LP,1.0
F3LC,F3LP,1.0
F3LC,F3LC,1.0
Fsa3,Fsa3,1.0
S3,S3,1.0
Fca3,Fca3,1.0
P3,P3,1.0
MU3,MU3,1.0
Nveg3,Nveg3,1.0
So3,So3,1.0
LT3,LT3,1.0
LP3,LP3,1.0
Cit3,Cit3,1.0
Rio3,Rio3,1.0
AU3,AU3,1.0
NA3,NA3,1.0
Cal3,Cal3,1.0
AZ3,AZ3,1.0
C3LC,C3LP,0.997248402
NA3,F3LP,0.921408105
NA3,F3LC,0.921408105
F3LP,C3LP,-0.821530905
F3LC,C3LP,-0.821530905
NA3,C3LP,-0.821530905
F3LP,C3LC,-0.819270382
F3LC,C3LC,-0.819270382
NA3,C3LC,-0.819270382
LT3,So3,0.807186886
AZ3,Nveg3,0.797470748
LP3,Fca3,0.770531481
Fsa3,C3LP,0.727039091
Fsa3,C3LC,0.725038572
Nveg3,P3,-0.710192386
AZ3,F3LP,-0.71008788
AZ3,F3LC,-0.71008788
AZ3,NA3,-0.71008788
LT3,C3LP,-0.697093737
LT3,C3LC,-0.695175616
AZ3,LP3,0.674578721
NA3,Fsa3,-0.664805554
AZ3,MU3,0.658638155
Fsa3,F3LP,-0.658077604
Fsa3,F3LC,-0.658077604
Rio3,S3,-0.624055146
LP3,MU3,0.620461624
Cit3,P3,-0.618782791
So3,F3LP,0.616000201
So3,F3LC,0.616000201
AU3,Rio3,0.592815239
LT3,Fca3,0.592101866
AU3,S3,-0.590261824
Nveg3,F3LP,-0.589848547
Nveg3,F3LC,-0.589848547
Cal3,C3LP,0.585330286
Cal3,F3LP,-0.585330286
Cal3,F3LC,-0.585330286
MU3,Cal3,-0.585330286
LT3,Cal3,-0.585330286
NA3,Cal3,-0.585330286
Cal3,C3LC,0.583719692
So3,C3LP,-0.58303698
So3,C3LC,-0.581432697
NA3,Nveg3,-0.563651248
AU3,Fca3,-0.536562867
Nveg3,C3LP,0.535816619
Nveg3,C3LC,0.534342267
AZ3,C3LC,0.51593202
AZ3,C3LP,0.512455601
Nveg3,MU3,0.507163324
Cal3,Fca3,-0.501912712
So3,Cal3,-0.501912712
